,question_text
5595,남들과는 다른 자신만의 경쟁력은 무엇인가요 또한 그 능력을 키우기 위해서 그동안 어떤 노력들을 하셨을까요
5596,지원자님께서는 의견을 주장하실 때 강하게 주장하는 편이신가요 어떤 스타일로 자신의 의견을 주장하시는지 답변해 주시기 바랍니다
5597,지원자님께서는 수익과 사회 공헌 중 더 중요하다고 생각하시는 가치는 무엇인가요 이유와 함께 설명 부탁드립니다
5598,지원자님은 창의적으로 어떤 문제를 해결해 본 경험이 있으신가요 있다면 그 과정을 최대한 자세하게 설명해 주시기 바랍니다
5599,어 지원자님께서 특별히 가고 싶으신 회사가 있으신지 궁금합니다 어 특정 도메인이 중요한지 회사의 분위기가 중요한지 어떤 점을 중점적으로 보시는지 말씀해 주시길 바랍니다
5600,본인이 직접 해외 출장 장소를 선택할 수 있다면 꼭 한 번 가서 일 해보고 싶은 나라는 어디인지 또 그 이유는 무엇인지 말씀해 주세요
5601,지원자님께서 해외에 파견 근무를 나가게 되신다면 어느 나라에서 어떤 일을 하고 싶으신가요 그리고 그 이유도 함께 말씀해 주시길 바랍니다
5602,커뮤니케이션을 잘 할 수 있는 본인만의 스킬이 있으신가요 있다면 본인만의 스킬을 한번 소개해 주시겠습니까 이 자리에서 직접 보여 주셔도 좋습니다
5603,평소에 검색을 자주 하시는 편인가요 어떤 검색을 주로 하시는지 왜 하시는지 구체적으로 본인의 검색 패턴을 말씀해 주세요
5604,규범을 준수한다는 생각과 현실 상황은 종종 충돌하고는 하는데요 이것과 관련해서 지원자님께서 직접 경험하셨던 상황이 있으신가요 말씀해 주시겠어요
5605,일을 하다보면 고객을 응대할 때가 많이 있습니다 고객 응대에 필요한 세 가지를 말씀해 주시고 그 세 가지를 선택한 이유도 말씀해 주세요
5606,면접자님께서 이루고 싶은 인생의 목표가 있다면 이유와 함께 말씀 부탁드립니다
5607,면접자님께서 우리 회사에 들어오게 된다면 가장 가고 싶은 부서와 이유를 함께 말씀해 주세요
5608,만약 상사가 업무와 무관한 일을 시켜도 잘 수행하실 수 있나요 아니면 솔직하게 수행하지 않을 건지 말씀 부탁드립니다
5609,현대 사회에 없어서는 안 될 제일 중요하게 생각하시는 직업을 딱 한 가지만 골라서 말씀해 보시겠어요
5610,과거에 프로젝트를 수행했던 경험이 있나요 만약 있다면 어떤 프로젝트였고 그 안에서 본인의 역할은 무엇이었는지 함께 설명해 주세요
5611,지원자 분께서 일을 하는 와중에 상사 분에게 어려운 지시를 받았다고 한다면 어떻게 해결하실 생각이신지 궁금합니다 그 이유까지도 함께 답변 부탁드리겠습니다
5612,업무 중 스케줄에 없던 일이 생길 때가 있는데 그런 상황이 생기게 된다면 어떻게 대처하실 건가요
5613,지원자분께서는 인생을 살아가면서 무엇인가 하나에 푹 빠져서 몰두해 보신 경험이 있으신지 궁금합니다 있으시다고 한다면 그와 같은 경험이 어떤 경험이었는지에 대해서 대답해 주시기 바랍니다
5614,지원자님께서는 영업 업무를 수행함에 있어서 고객을 대하실 일이 많으실 텐데 이렇게 고객을 대하는 일에 있어서 지원자님께서 가지고 계신 일관된 신념이나 원칙이 있으시다면 어떤 것인지 말씀해 주십시오
5615,만약 본인이 지금 지원한 해당 직무가 아닌 타 부서에 배치되게 된다면 어떻게 하시겠어요 그래도 괜찮으실까요
5616,지원자님께서 그동안 인생에서 겪었던 갈등들 중에서 가장 심각했던 갈등이 무엇이었나요 한 가지만 골라서 구체적으로 설명해 주세요
5617,지원자님께서는 휴식을 취할 때는 주로 어떤 일들을 하십니까 지원자님께서 왜 그 일을 하는지 이유도 함께 구체적으로 제시해 주시기 바랍니다
5618,지원자분께서는 개인적으로 공부를 어떻게 하시는지에 대해서 답변 부탁드리겠습니다 강의나 책 등을 활용해서 어떻게 공부하고 계시는지를 말씀해 주셔도 좋겠습니다
5619,그동안 살면서 다른 사람을 도운 경험 중에서 가장 기억에 남는 일에 대하여 말씀해 주시겠습니까
5620,지원자님께서 생각하시기에 좋은 회사의 덕목은 무엇이라고 생각하시나요 어떤 회사가 좋은 회사라고 생각하시는지 말씀해 주시길 바랍니다
5621,일을 하다 보면 간혹 영어로 서류를 작성해야 할 일이 생길 수도 있습니다 이때 영어로 서류를 작성하실 수 있을까요
5622,만취자가 만약 면접자님께 폭행을 행사하는 일이 생긴다면 어떻게 대응하시겠습니까 침착하게 잘 대응하실 수 있나요
5623,현대 사회에서 없어서는 안 될 제일 중요하게 생각하시는 직업을 딱 한 가지만 골라서 말씀해 보시겠어요
5624,공사와 공단의 차이점을 아신다면 그에 대해 최대한 상세하게 설명해 주실 수 있나요
5625,다른 사람이 생각하는 지원자님의 장단점은 무엇이라고 생각하세요 그렇게 생각하시는 이유도 함께 들어볼 수 있을까요
5626,지원자님께서는 휴식을 취할 때는 주로 어떤 일들을 하십니까 왜 그 일을 하는지 그 이유도 함께 구체적으로 말씀해 주시기 바랍니다
5627,혹시 본인이 팀장에 더 잘 맞을 것 같은 사람인지 팀원에 더 잘 맞을 것 같은 사람인지 그렇게 생각하시는 이유와 함께 말씀해 주세요
5628,본인이 이제까지 살면서 이룬 성과 중에 가장 큰 성과는 무엇인지 그 성과에 대해서 자랑 한번 부탁드릴게요
5629,직무 수행 시에 난관에 봉착했다면 어떻게 해결하실 건가요 지원자님의 해결법과 그 이유도 함께 말씀해 주시기 바랍니다
5630,만약 일을 하던 중에 직무가 적성에 맞지 않는다면 어떻게 하실 건가요 상황을 가정하고 그 이유와 함께 말씀해 주실 수 있을까요
5631,지원자님은 의견을 주장하실 때 강하게 주장하시는 편인지 궁금한데요 보통 어떤 스타일로 본인의 의견을 주장하시는 편인지 설명해 주시기 바랍니다
5632,대학 생활을 하면서 제일 힘들었던 경험이 무엇이었는지 말씀해 주시고 그것을 어떻게 극복하셨는지도 함께 얘기해 주세요
5633,남들과는 다른 면접자님만의 경쟁력이 있다면 설명해 주시고 경쟁력을 키우기 위해 어떤 노력을 했는지도 말씀 부탁드립니다
5634,혹시 지원자님은 요즘 공부하고 있는 것이 있으십니까 만약에 있다면 왜 그걸 공부하는지 그리고 지금까지 무엇을 배웠는지도 함께 말씀해 주시기 바랍니다
5635,지원자님께서 일하고 계신 건물에 화재가 발생하였다고 가정했을 때 지원자님께서 가장 먼저 해야 할 일이 무엇이라고 생각되시나요
5636,일을 하다보면 공장 주민들의 과도한 민원에 시달리게 될 경우도 있습니다 이러실 경우 어떻게 대응을 하실 것인지 설명해 주시기 바랍니다
5637,사내 스터디를 만들어서 공부할 수 있게 된다면 어떤 것을 공부하고 싶으신지 그것을 공부하고 싶은 이유와 함께 말씀해 주세요
5638,만약에 일을 하다가 팀원과 불화가 생기게 된다면 어떻게 해결하실 건가요 본인의 해결법과 그렇게 해결하시는 이유에 대해서 말씀해 주세요
5639,면접자님께서 일을 하다 보면 상사와 트러블이 생길 수 있는데 이 때 어떻게 하실 계획이십니까 또 상사가 혼내면 기분 나쁘시진 않을지 말씀해 주시기 바랍니다
5640,휴식을 취할 때 주로 어떤 일들을 하시는지 말씀해 주시고 왜 그 일을 하면서 휴식을 취하는지 그 이유도 함께 얘기해 주세요
5641,지원자님께서는 영업 특성상 고객을 많이 상대하시게 됩니다 만약 고객이 저희 상품과 써비스에 지속적인 불만을 제기하게 된다면 향후 어떻게 대응하실지 본인만의 업무 스타일에 비추어서 말씀해 주시기 바랍니다
5642,지원자님께서 과거 고객의 불만이나 클레임을 해결한 경험이 있다면 당시에 어떻게 대처를 하셨는지 들어보고 싶습니다
5643,면접자님께서 대학 생활을 하면서 제일 힘들었던 경험을 말씀해 주시고 그것은 어떻게 극복하셨는지도 함께 얘기해 주세요
5644,현대 사회에 없어서는 안 될 제일 중요하게 생각하시는 직업을 한 가지만 골라서 말씀해 주시겠어요
5645,만약에 지원자님께서 입사 후에 기존에 원하던 일을 못 하게 되었을 경우 지원자님께서는 어떻게 하실 생각이십니까 그리고 지원자님께서 그렇게 하실 이유도 말씀해 주시기 바랍니다
5646,만약에 공무를 수행하는 중에 민원인이 욕을 한다면 어떻게 대응을 하시겠습니까 왜 그렇게 대응하는지도 대해서 말씀해 주십시오
5647,그동안 진행하신 프로젝트들 중 가운데 가장 기억에 남는 프로젝트가 있다면 어떤 점에서 기억에 남는지 설명해 주실 수 있으실까요
5648,어 본인이 생각하는 본인의 장점과 단점이 있으실 텐데요 그것이 무엇인지 설명해 주시길 바랍니다 또 본인이 그것을 특화시키고 또 극복하기 위해서 했던 노력이 무엇인지 말씀해 주세요
5649,우리 회사에 입사를 하셨는데 업무 내용이나 강도가 본인의 예상과 전혀 다르다면 지원자님은 이때 어떻게 하실 건지 말씀해 주세요
5650,지원자님은 나눔과 베풂에 관해 어떻게 생각하시나요 그것이 왜 필요하고 좋은지도 또 그렇게 생각하신다면 그 이유도 함께 말씀해 주시기 바랍니다
5651,만약 고객이 당사의 상품과 서비스에 대해서 지속적으로 불만을 나타낸다면 지원자님께서는 어떻게 대응하실 것 같은지 답변 바랍니다
5652,그동안 속해 있었던 조직 혹은 단체 속에서 지원자님은 주로 어떤 역할을 맡았는지 말씀 부탁드립니다
5653,면접자님께서는 협업을 할 때 사교성이 좋은 편인지 궁금합니다 그리고 사교성을 키우기 위해서는 어떤 노력들을 해 보셨나요
5654,팀으로 일을 하는 것과 혼자 일하는 것 중 어느 것을 더 선호하시는 편인가요 그리고 그것을 선호하시는 이유는 무엇인가요
5655,일을 하다 보면 업무량이 과도하게 많았을 때도 있습니다 혹시 그래도 잘 버틸 자신이 있으신가요
5656,대학 생활을 보내면서 가장 힘들었던 경험은 무엇이었나요 또한 지원자님은 그 힘든 시간을 어떻게 극복하셨는지도 말씀해 주세요
5657,업무를 하다가 만약 상사가 업무와 무관한 일을 시킨다고 했을 때 지원자님께서는 잘 수행할 자신이 있으신지 아니면 수행하지 않을 것 같은지 지원자님의 생각을 답변해 주시기 바랍니다
5658,업무 중에 스케줄에 없던 일이 생길 때가 많습니다 만약 이런 상황이 발생한다면 지원자님은 어떤 식으로 대처하실 건가요
5659,지원자분께서는 평소에 개인 작업을 많이 하시는 편이신지 궁금합니다 그렇다고 한다면 그렇게 개인 작업을 할 수 있는 원동력은 무엇이라고 생각하시는지 지원자 분의 의견을 들어보고 싶습니다
5660,이제까지 살면서 제일 힘들었던 경험이 무엇이었나요 그렇다면 그것은 어떻게 극복하셨는지도 궁금합니다
5661,훈육에 대해 어떻게 생각하시나요 그리고 어떤 훈육이 가장 바람직한 방법이라고 생각하시나요
5662,만약 이직을 생각하는 동료가 있다면 지원자님께서는 뭐라고 말씀하실 것 같은지 그리고 왜 그렇게 말씀하실 것 같은지 함께 답변해 주시기 바랍니다
5663,상사가 회사의 이익에 반하는 행동을 하는 것을 직접 목격하게 되었습니다 그때 본인은 어떻게 행동하실 건가요
5664,만약 지원자님의 직무에 맞지 않는 일을 하게 된다면 어떻게 하실지 궁금합니다
5665,면접자님이 일을 하면서 가장 어려울 것으로 예상하는 부분은 무엇인가요 그리고 이 부분에 대해 어떻게 대처해 나갈 생각인지 말씀해 주세요
5666,지원자분께서는 본인의 의견을 주장하실 때 강하게 주장하는 편이신지 궁금합니다 주로 어떠한 스타일로 자신의 의견을 주장하시는지에 대해서 저희에게 구체적으로 답변 부탁드리겠습니다
5667,전공 외에 자신의 실력이 수준급이 될 정도로 노력하신 것이 있을까요 있다면 그것은 무엇이고 전공에는 어떤 도움이 됐었을까요
5668,회사의 덕목이 무엇이라고 생각하시나요 어떤 회사가 좋은 회사라고 생각하시는지 본인의 솔직한 의견을 말씀해 주시기 바랍니다
5669,지원자님 본인의 장점과 단점을 설명해 주시고 지원자님이 그것을 특화시키고 극복하기 위해 했던 노력도 함께 구체적으로 말씀해 주시기 바랍니다
5670,공단에서 근무하려면 어떤 전문적인 지식이 필요할까요 우리 공단의 특성에 맞게 설명 부탁드릴게요
5671,지원자님께서 본인의 장점과 단점을 설명해 주시고 지원자님이 그것을 특화시키고 극복하기 위해 했던 노력도 함께 말씀해 주시기 바랍니다
5672,혹시 면접자께서는 이전 직장을 그만두셨던 특별한 이유가 있으셨나요 그리고 현 직장도 같은 이유로 그만둘 가능성이 있을지 말씀해 주시기 바랍니다
5673,면접자님이 살면서 가장 힘들었던 경험은 무엇인가요 또 그 점을 극복하기 위해 노력했던 것이 있다면 무엇인지 말씀해 주세요
5674,이 직무에 지원하신 이유가 무엇일까요 또한 본인이 왜 이곳에 적합한 인재라고 생각하셨는지도 솔직하게 말씀해 주시기 바랍니다
5675,지원자분께서 만약 이직을 생각하고 있는 동료분을 만나게 된다면 이에 대해서 뭐라고 말씀하시겠는지 답변 부탁드립니다 그리고 왜 그렇게 말씀하게 되실지에 대해서도 설명 부탁드리겠습니다
5676,본인 스스로가 숫자와 창의 중에 어느 것에 더 가깝다고 생각하시나요 그렇다면 그렇게 생각하시는 이유는 무엇인가요
5677,최근 가장 재미있게 하고 있는 일은 무엇인가요 그렇다면 왜 그 일에서 흥미를 느끼는지도 함께 설명해 주세요
5678,최근에 제일 재미있게 하고 있는 일은 무엇인가요 그리고 그 일이 왜 재미있는지도 함께 설명해 주시겠어요
5679,어쩌다 이 분야에 관심을 가지게 되었고 지원하게 되었는지 궁금합니다 관심 가지게 된 이유와 지원 동기에 대한 말씀을 해주세요
5680,원칙과 융통성은 종종 충돌하게 되는 경우가 있을 텐데요 이럴 때는 무엇을 우선시하시는 편인지 말씀해 주시기 바랍니다
5681,지원자님께서는 입사 후에 기존에 원하던 일을 못 하게 되었을 경우 어떻게 하실지 궁금합니다 그리고 그렇게 하시는 이유도 함께 설명해 주세요
5682,만약 지원자님께서 지금 지원하신 이 직무가 아니라 다른 부서에 배치를 받게 된다면 어떻게 하실 건지 구체적으로 말씀해 주세요
5683,시간이 남을 때 주로 어떤 일을 하시나요 그 일을 하는 이유는 무엇인지 설명해 주시기 바랍니다
5684,불만을 제기하는 고객이 눈앞에 있다면 이 때 지원자님은 그 고객을 어떻게 대처하실 건가요 경험으로 효과적인 노하우가 있으신가요
5685,협업하는 과제와 혼자 하는 과제 중에 어느 것을 더 선호하시나요 그렇다면 그것을 선호하시는 이유는 무엇인가요
5686,일을 하다 보면 상사와 트러블이 생기게 될 수도 있는데 그럴 때는 어떻게 대처하실 건가요 그리고 상사가 본인을 혼낸다면 기분 나쁘지는 않을까요
5687,혹시 협업을 할 때 가장 중요하게 생각하시는 것은 무엇인가요 그것을 왜 가장 중요하게 생각하시는지 그 이유도 같이 설명해 주세요
5688,어쩌다 이 분야에 관심을 가지게 되었고 지원하게 되었는지 궁금합니다 관심 가지게 된 계기와 지원 동기에 대해서 말씀해 주세요
5689,이제까지 속해 있었던 조직이나 단체에서 본인은 주로 어떤 역할을 하는 사람이었나요
5690,지금까지 여러 가지 대외 활동을 해 보셨을 텐데요 그러한 대외 활동에서 무엇을 배웠고 또 어떤 자세로 그러한 대외 활동을 임하셨는지 함께 말씀해 주시길 바랍니다
5691,본인의 전공과 관련해서 최근 부족함을 느끼고 따로 공부하고 있는 분야가 있다면 그것은 무엇인가요
5692,커뮤니케이션을 뛰어나게 소화해 낼 수 있는 지원자님만의 액티브 스킬이 있다면 여기서 직접 보여주실 수 있을까요
5693,지원자님께서 시간이 남을 때 무슨 일을 하시는지 지원자님이 그 일을 하는 이유는 무엇인지 설명해 주실 수 있으십니까
5694,만약 지원자님이 사내 스터디를 만든다면 어떤 것을 공부하고 싶으세요 그렇게 생각하시는 이유에 대해서도 함께 말씀해 주세요
5695,어 대학에서 배운 지원자님의 전공 과목들이 있으실 텐데요 그중에 가장 기억에 남는 과목을 한 가지만 골라서 말씀해 주시길 바랍니다
5696,지원자 분께서는 우리 회사에 들어와서 본인이 하고 싶은 업무가 있으신지 궁금합니다 있으시다고 한다면 그 이유와 함께 업무가 무엇인지에 대해서 이야기 해 주시면 좋겠습니다
5697,지금까지 인생을 살면서 여러 가지 경험들을 해 보셨을 텐데요 그중에서 가장 후회되는 일이 있다면 어떤 일인지 궁금합니다 한 가지만 골라서 말씀을 해 주시기 바랍니다
5698,지원자님께서는 본인이 현재 가지고 있는 위치보다 어려운 목표를 달성한 경험이 있으십니까 있다면 그 경험에 대해서 한 번 말씀을 해 주시기 바랍니다
5699,협업을 할 때 가장 중요하게 생각하시는 것은 무엇인가요 그렇다면 왜 그것을 가장 중요하게 생각하시나요
5700,이제까지 협업을 하면서 제일 어려웠던 점과 그것을 어떻게 해결했는지 함께 얘기해 주세요
5701,업무를 하다가 분쟁이 발생할 때를 대비해서 지원자님만의 대처법이 있으신가요 또 있으시다면 그것은 무엇인지 말씀해 주세요
5702,이제까지 살면서 새로운 환경에서 아예 몰랐던 일을 맡아서 해본 경험이 있다면 그 경험에 대해서 말씀해 주시겠어요
5703,자 일을 하시면서 고객으로부터 칭찬을 받은 경험이 있으신가요 있으시다면 어떤 경험인지 왜 어떻게 칭찬을 받았는지 자세히 한번 설명해 주시겠습니까
5704,만약에 일을 하던 중에 직무가 적성에 맞지 않는다는 것을 알게 되신다면 어떻게 하시겠습니까 그러한 상황을 가정에서 말씀해 주시길 바랍니다
5705,지금 읽고 계신 책이 있나요 있다면 그것이 무슨 책인지 궁금합니다 그리고 왜 그 책을 읽는지도 함께 설명해 주세요
5706,소통 능력을 더 넓게 광범위하게 키우기 위해서는 어떠한 일들을 도전해 볼 수 있을까요 지원자님이 생각한 비책을 말씀해 주세요
5707,우리 회사에 입사를 했는데 업무 내용이나 강도가 지원자님의 예상과 너무 다르다면 어떻게 하실 건지 이유와 함께 말씀 부탁드립니다
5708,최근 고령화 사회로 가면서 치매로 인한 문제가 굉장히 많이 대두되고 있습니다 이것과 관련해서 건보공단이 하는 일과 개선해야 할 방안에 대해서 말씀해 주세요
5709,무언가를 달성하기 위해서 목표를 세우고 이 삼 년 동안 열심히 노력한 결과 해당 목표를 달성한 경험이 있으시다면 얘기해 주세요
5710,본인이 직접 해외 출장 장소를 선택할 수 있다면 지원자님께서는 꼭 한번 가서 일해 보고 싶은 나라가 있으셨습니까
5711,만약 지원자님이 하고 싶은 직무가 아니라 다른 직무를 맡게 되신다면 어떻게 하실 건가요 그렇게 하시려는 이유도 함께 말씀해 주세요
5712,기차가 운행 시에 산사태로 삼십 분 동안 정차되었다면 만약 지원자님이 관리책임자일 때 이 상황을 어떻게 해결하실 건가요
5713,지원자님의 성격상 단점과 장점에 대해서 말씀해 주세요 구체적인 예시와 함께 설명해 주신다면 더욱 좋을 것 같습니다
5714,인생을 살면서 무엇인가 하나에 푹 빠져서 몰두해 본 적이 있으신가요 있다면 그것이 무엇이었는지 해당 경험을 말씀해 주실 수 있을까요
5715,지원자님께서 이때까지 경험해 보시면서 봉사 활동이나 의로운 일이나 자기자신을 희생한 경험이 있다면 어떤 것이 있는지 최근의 일로 하나 선정해서 말씀해 주십시오
5716,지금부터 삼 년 뒤까지 삼 년 내에 주요 성장 계획이나 목표가 있으신가요 있다면 무엇인지 구체적으로 말씀해 주실 수 있을까요
5717,만약 지원자님이 하고 싶은 직무 말고 다른 직무를 맡게 되신다면 어떻게 하실 건가요 그렇게 하시려는 이유는 무엇인가요
5718,지원자께서는 시간이 남을 때 무슨 일을 하시는지 그 일을 하는 이유는 무엇인지 구체적으로 설명해 주실 수 있으신가요
5719,여러 사람들과 함께 일을 하다 보면 구성원들 간의 갈등이 생길 때도 있습니다 그럴 때는 보통 어떤 방법으로 해결하시나요
5720,지원자님 본인의 장점과 단점을 설명해 주시고 지원자님께서 그것을 특화시키고 극복하기 위해서 했던 노력도 함께 말씀해 주시기 바랍니다
5721,지원자분께서는 평소에 검색을 많이 하는 편이신지 궁금합니다 주로 어떤 검색을 자주 하시는 편이시고 왜 그와 같은 검색을 자주 하는 편이신지 궁금합니다
5722,지원자분만이 가지고 계시는 단점이 있으시다고 하면 그 단점에 대해서 말씀해 주시고 이를 보완하기 위해서 했던 노력들이 있으시다고 하다면 그걸 함께 말씀해 주시면 좋겠습니다
5723,만약 일을 하게 된다면 자료를 문서화하게 될 일이 많습니다 이때 문서화 작업은 왜 필요한 작업이라고 생각하시는지 말씀해 주세요
5724,본인만의 스트레스 해소 방법이 있는지 있다면 왜 그런 방법으로 스트레스를 해소하는지 함께 말씀해 주세요
5725,면접자님께서는 협업을 할 때 사교성이 좋은 편이신가요 그리고 사교성을 키우기 위해서는 어떤 노력들을 해 보셨나요
5726,어 업무를 하다가 분쟁이 발생할 때를 대비한 본인만의 대처법이 있으신지 궁금합니다 있다면 그것이 무엇인지 어 설명해 주시기를 바랍니다
5727,남들과 다른 본인만의 경쟁력을 설명해 주세요 그리고 경쟁력을 키우기 위해서는 어떤 노력을 했는지도 함께 말씀해 주세요
5728,혹시 직장을 선택할 때 제일 중요하게 생각하는 것 세 가지가 있다면 그것이 무엇인지 각각 말씀해 주시겠어요
5729,지원자분께서 지금껏 살아오시면서 본인에게 가장 힘들었던 경험은 무엇인지 궁금합니다 그리고 그와 같은 것들을 본인이 어떻게 극복하셨는지에 대해서도 함께 이야기해 주신다면 좋겠습니다
5730,이루고 싶은 인생의 목표가 있으신가요 있다면 그것을 왜 이루고 싶은지 그 이유도 함께 설명해 주세요
5731,고객 응대 시 발생하는 스트레스를 해소하기 위해 본인만의 노하우가 있다면 그것을 설명해 주시겠습니까
5732,만약 본인이 직무에 맞지 않는다는 일을 하게 된다면 어떻게 하실 건가요 그래도 괜찮으실까요
5733,이루고 싶은 인생의 목표가 있을까요 있다면 왜 그것을 이루고 싶은지 그 이유도 함께 말씀해 주세요
5734,그동안 속해 있었던 조직이나 단체 속에서 지원자님께서는 주로 어떤 역할을 하셨나요 또한 그 역할을 하셨던 이유는 무엇이었을까요
5735,지원자님이 생각할 때 본인은 평소 검색을 자주 하는 편이라고 생각을 하십니까 만약 그렇다면 어떤 검색을 주로 하시는지 그리고 왜 하시는지도 함께 답변 부탁드리겠습니다
5736,해당 직무에 지원하신 이유가 무엇인가요 또한 왜 본인이 적합한 인재라고 생각하셨는지도 구체적으로 말씀해 주시길 바랍니다
5737,본인이 생각했을 때 스스로가 교번 근무에 잘 적응할 수 있다고 생각하시나요 그렇다면 그렇게 생각하는 근거는 무엇인가요
5738,협업을 할 때 사교성이 좋은 편이신가요 또한 본인은 사교성을 키우기 위해서 어떤 노력들을 하셨는지도 말씀해 주실 수 있을까요
5739,일을 하다 보면 영어로 서류를 작성해야 될 일이 생길 수도 있는데요 그럴 때 영어로 서류를 작성하실 수 있으실까요
5740,지원자님께서 직접 해외 출장을 갈 곳을 신중하게 정해 볼 수 있는 시간이 주어졌다면 한번 가서 나의 능력을 성심성의껏 꺼내어서 발휘해 보고 싶은 나라가 있을까요
5741,어 과거에 직면한 어려운 문제를 해결하기 위해서 어떤 아이디어를 제안하셨고 또 그것을 위해서 무엇을 하셨는지 그 과정을 설명해 주시길 바랍니다
5742,여러 사람들과 함께 일을 하다 보면 구성원들 간에 갈등이 생길 때가 있는데 그럴 때는 보통 어떻게 해결하시는지 궁금합니다
5743,본인이 창의적으로 어떤 문제를 해결해 본 경험이 있으신가요 해당 경험의 과정에 대해서 최대한 자세하게 말씀해 주시길 바랍니다
5744,제도적인 부패에 대해서 생각해 보신 적이 있는지요 그 제도적인 부패에 대한 지원자님의 생각과 또 그 부패에 대처하는 방법에 대해서 말씀해 주시기 바랍니다
5745,이제까지 살면서 제일 후회되는 일이 있다면 그것은 무엇인가요 한 가지만 말씀해 주시겠어요
5746,그동안 살아오면서 윤리적으로 행동했던 일이 있으신가요 있다면 그렇게 행동한 이유도 함께 이야기해 주시기 바랍니다
5747,요즘 윤리 경영이 대세라고들 하는데요 지원자님이 생각하기에 윤리 경영을 위해서 조직이나 회사 차원에서 해야 하는 일이 있다면 어떤 것이 있는지 말씀 부탁드리겠습니다
5748,직무 수행 시에 협업을 많이 하실 텐데 지금까지 협업을 하시면서 가장 어려웠던 것과 해결했던 방법을 말씀 부탁드립니다
5749,소통 능력을 키우기 위해 우리가 할 수 있는 일들은 어떤 것들이 있을까요 생각나는 방법들을 자세하게 한번 말씀해 주세요
5750,어 이전 직장이나 혹은 대학에서 프로젝트를 많이 해 보셨을 텐데요 그렇다면 어떤 프로젝트를 해 보셨는지 생각나는 게 있다면 지금 하나 마 만 말씀을 해 주시기 바랍니다
5751,현재 현존하고 있는 사회 문제들 가운데서 지원자님이 생각하시기에 가장 심각한 문제는 어떤 거라고 생각하시는지 이유와 함께 말씀해주세요
5752,지원자님께서 모럴 해저드 도덕적 해이를 직접 경험해 보신 적이 있으십니까 그런 경험이 있으시다면 당시에 상황에 대해서 말씀해 주세요
5753,일을 하시게 되면 공장 주민들의 과도한 민원에 시달리게 될 수도 있습니다 지원장님께서는 이런 상황에서 어떻게 대응하시겠습니까
5754,본인의 생각이 아니고 지원자분을 바라보는 다른 주변 사람들이 생각할 때 어 지원자분 본인이 가지고 계시는 장점 그리고 단점에 대해서 모두 이야기해 주신다면 좋을 것 같습니다
5755,지원자분께서 이제껏 협업을 해 오시면서 가장 어려웠던 점과 그와 같은 어려움들을 본인이 어떻게 해결하셨는지 함께 저희에게 말씀해 주시면 좋을 것 같습니다
5756,동물 실험이 인간에게 주는 이익에 관해서 말씀해 보세요 지원자님의 솔직한 동물 실험에 대한 생각도 말씀해 주세요
5757,만약 지원자분께서 지금 지원하신 이 직무가 아니라 완전히 다른 부서에 배치되게 된다고 하면 어떻게 하실 생각이신지 궁금합니다 그런 상황이 온다고 해도 괜찮으실까요
5758,오늘 면접 준비하느라 고생을 많이 하셨을 것 같으십니다 지원자님께서는 면접을 준비하실 때 어떤 방식으로 하시는지 말씀해 주실 수 있겠습니까
5759,공무원에게 특히 강조되는 것이 공직 윤리인데요 공직 윤리는 무엇이라고 생각하십니까 한 가지만 골라서 이유와 함께 설명해 주시겠어요
5760,우리 회사에 들어와서 본인이 하고 싶은 업무가 있으신가요 있다면 그것이 무엇인지 이유에 대해서도 함께 말씀해 주세요
5761,일을 하다 보면 상사분과 트러블이 생길 수도 있습니다 그와 같은 상황이 온다고 하면 어떻게 대처하실 생각이신지 궁금합니다 또한 상사분께서 지원자분을 혼내게 된다면 기분 나쁘시지는 않을까요
5762,업무를 하다가 불만을 제기하는 고객을 만난다면 이를 대처하는 지원자님만에 노하우에 대해서 설명해 주시기 바랍니다
5763,이전에 프로젝트를 수행했던 적이 있는지 궁금한데요 만약에 있다면 그 프로젝트 내에서 어떤 역할을 주로 맡으셨는지 말씀해 주세요
5764,지원자님께서는 공무원 일을 하기에 앞서서 지원자님이 바라는 공무원의 모습이 있다면 어떤 모습이 있을지 자세한 설명 부탁드리겠습니다
5765,다른 사람들이 생각하는 지원자님의 장단점은 뭐라고 생각하시나요 그렇게 생각하시는 이유도 함께 구체적으로 말씀해 주실 수 있을까요
5766,지금까지 살면서 가장 힘들었던 점이 어떤 것인지 궁금합니다 또 그러한 점을 극복하기 위해서 어 지금까지 어떤 노력을 해 오셨는지 말씀해 주세요
5767,커뮤니케이션을 잘 할 수 있는 본인만의 기술이 있다면 그 기술에 대해서 한번 소개해 주시겠어요 이 자리에서 직접 한번 보여주시는 것도 좋습니다
5768,지원자님께서 생각하는 이상적인 사회가 있다면 어떠한 사회인지 이유와 함께 말씀해 주시기 바랍니다
5769,저희 회사는 영어로 서류를 작성해야 하는 일이 많습니다 지원자님께서는 영어로 서류를 작성하실 수 있으십니까
5770,어 어떤 직장이나 대학에서 프로젝트를 해 본 적이 있나요 있다면 생각나시는 대로 한번 답변해 주실 수 있을까요
5771,현재 스터디를 따로 하고 계신 것이 있나요 있다면 어떤 공부를 하고 있고 왜 하고 있는지 이유도 함께 말씀 부탁드립니다
5772,최근에 재미있게 하고 있는 일이 무엇인가요 또한 왜 그것이 요즘 재미있게 느껴지시는지 이유도 함께 설명해 주세요
